window_entry,hh_hl_counts,window_exit,lh_counts,Total Return [%]_count,Total Return [%]_mean,Total Return [%]_std,Total Return [%]_min,Total Return [%]_25%,Total Return [%]_50%,Total Return [%]_75%,Total Return [%]_max,Max Drawdown [%]_count,Max Drawdown [%]_mean,Max Drawdown [%]_std,Max Drawdown [%]_min,Max Drawdown [%]_25%,Max Drawdown [%]_50%,Max Drawdown [%]_75%,Max Drawdown [%]_max,Max Drawdown Duration_count,Max Drawdown Duration_mean,Max Drawdown Duration_std,Max Drawdown Duration_min,Max Drawdown Duration_25%,Max Drawdown Duration_50%,Max Drawdown Duration_75%,Max Drawdown Duration_max,Total Trades_count,Total Trades_mean,Total Trades_std,Total Trades_min,Total Trades_25%,Total Trades_50%,Total Trades_75%,Total Trades_max,Total Trades per year_count,Total Trades per year_mean,Total Trades per year_std,Total Trades per year_min,Total Trades per year_25%,Total Trades per year_50%,Total Trades per year_75%,Total Trades per year_max,Win Rate [%]_count,Win Rate [%]_mean,Win Rate [%]_std,Win Rate [%]_min,Win Rate [%]_25%,Win Rate [%]_50%,Win Rate [%]_75%,Win Rate [%]_max,Sharpe Ratio_count,Sharpe Ratio_mean,Sharpe Ratio_std,Sharpe Ratio_min,Sharpe Ratio_25%,Sharpe Ratio_50%,Sharpe Ratio_75%,Sharpe Ratio_max,Total Return [%]_std_perc,Max Drawdown [%]_std_perc,Total Trades_std_perc,Sharpe Ratio_std_perc,cluster
2,1,2,1,15.0,48.79429973412375,60.08626645100266,-35.53468637429495,-5.2453452311965805,40.37902341588108,97.08681892692854,148.22459272333208,15.0,29.498916758269427,13.202441549023927,15.562192923216573,22.02575122738468,27.507548084904894,31.493389480474427,64.46902574732063,15.0,483.73333333333335,286.71052266968474,143.0,277.0,420.0,679.0,1051.0,15.0,99.4,8.209750300709517,88.0,91.0,101.0,106.0,110.0,15.0,33.13333333333333,2.7365834335698396,29.333333333333332,30.333333333333336,33.666666666666664,35.333333333333336,36.666666666666664,15.0,42.827772480387715,4.237394758942,36.53846153846153,39.60437710437711,42.0,46.022727272727266,51.61290322580645,15.0,0.6046356033203113,0.6092723437196896,-0.3699611766727188,0.062401329109582335,0.7190922071584176,1.1569114241007137,1.301053462979004,1.2314197924431325,0.4475568258052353,0.08259306137534725,1.0076686526131045,12
2,1,2,2,15.0,70.35874662903488,90.49737199846167,-34.67431227704847,15.291775367144972,50.396495954588126,106.79330955707763,316.8522258823925,15.0,32.620615512464006,12.180243516819068,20.88954239323091,26.25094284333463,28.88309404474348,33.05296333743105,62.0382055633257,15.0,500.26666666666665,280.6193320564525,215.0,242.0,428.0,678.5,1016.0,15.0,110.86666666666666,5.303188618539749,104.0,108.0,109.0,113.0,121.0,15.0,36.95555555555555,1.7677295395132502,34.666666666666664,36.0,36.333333333333336,37.66666666666667,40.333333333333336,15.0,42.12362431532585,2.7995777327557865,36.36363636363637,40.408055113937465,42.592592592592595,44.13373323923783,46.2962962962963,15.0,0.67085799607808,0.5514126433581743,-0.17466286746770893,0.3100608426532069,0.8158678555407283,1.0517800812867222,1.6275938389717965,1.2862277447267119,0.37339097762165524,0.04783393221773676,0.821951361661934,12
2,1,3,1,15.0,47.08118688660116,59.237718811915904,-34.844639353943734,-6.546079317669701,36.38841590923859,97.08681892692854,141.65821589045652,15.0,29.498916758269427,13.20244154902393,15.56219292321661,22.025751227384625,27.507548084904894,31.493389480474427,64.46902574732066,15.0,486.26666666666665,285.2889429199473,143.0,285.0,420.0,680.0,1051.0,15.0,100.06666666666666,8.092912831313463,88.0,92.0,101.0,107.0,110.0,15.0,33.35555555555556,2.69763761043782,29.333333333333332,30.666666666666664,33.666666666666664,35.666666666666664,36.666666666666664,15.0,42.74506704021437,4.182971299145597,36.53846153846153,39.70938760542721,42.0,45.548833189282625,51.61290322580645,15.0,0.5885340933908758,0.6044659923568577,-0.3699611766727188,0.04826684026205687,0.6599017553756482,1.1446570885807645,1.301053462979004,1.2582035995522953,0.4475568258052354,0.08087521150546433,1.027070477555836,12
2,1,3,2,15.0,68.71674556069706,63.99955443182476,-38.019518302162815,16.144844326442154,72.01809906049029,102.42393757175208,181.76464386016093,15.0,29.786360424640176,12.262346988891093,17.771478880249344,20.414615884193353,27.747316540780133,32.57420611758606,63.7972883202656,15.0,467.93333333333334,281.1175317668158,242.0,243.0,398.0,578.5,1037.0,15.0,89.6,6.946736129805339,81.0,82.5,89.0,96.0,99.0,15.0,29.86666666666667,2.315578709935113,27.0,27.5,29.666666666666668,32.0,33.0,15.0,42.26361565657128,4.124180015997741,37.03703703703704,40.334717176959,41.30434782608695,43.5499462943072,52.38095238095239,15.0,0.7899502269081083,0.5552296253341586,-0.2305657157826495,0.33666338088715236,0.9451492615504223,1.1970265722237992,1.4022118995536716,0.9313531062860706,0.41167657995393453,0.07753053716300602,0.7028665938958534,6
2,1,3,3,15.0,160.17787654416242,197.3463810231257,-13.899902170705204,50.50984675374282,69.17760828543625,266.68035125247775,669.0724209093373,15.0,31.22139396333599,14.15121198710436,19.938337020105372,20.898861333249016,29.928988794124695,31.69297313330202,64.4446801289161,15.0,422.2,259.22582543301615,121.0,209.0,331.0,524.0,910.0,15.0,95.53333333333333,5.792441709018826,86.0,91.5,95.0,100.5,104.0,15.0,31.844444444444452,1.9308139030062752,28.666666666666668,30.5,31.666666666666668,33.5,34.666666666666664,15.0,45.935787025978314,2.824146078851275,39.0,44.690402476780186,46.236559139784944,47.733436652460284,50.0,15.0,0.9975561094200998,0.651355116068737,0.07024847983142471,0.5935516369018041,0.9038014303081946,1.541225307416277,2.081034719465201,1.232045181774623,0.4532536889199264,0.06063267664709169,0.6529508565161145,6
2,1,4,1,15.0,37.67152985173583,47.112597740190445,-36.385642204744904,-3.4225757542405333,40.246210256532365,74.78291776604252,108.1039588571134,15.0,30.081544812452314,13.573468560207308,13.830660153427496,22.524587609439692,29.152145034320505,30.7219268746218,65.7565629675679,15.0,497.0,277.44214326079384,143.0,327.0,420.0,678.5,1051.0,15.0,95.2,7.062981968383771,84.0,88.0,97.0,100.0,108.0,15.0,31.733333333333334,2.3543273227945902,28.0,29.333333333333336,32.333333333333336,33.333333333333336,36.0,15.0,43.60383380031935,4.309412860187592,37.11340206185567,40.44165054803352,43.67816091954023,46.37234042553192,52.80898876404494,15.0,0.5457561722449952,0.5385566501284789,-0.3446327535334407,0.09747755345132886,0.7031099463223413,0.9209531879493642,1.3518544020930694,1.250615462807375,0.45122245698593727,0.07419098706285474,0.9868081709696461,12
2,1,4,2,15.0,44.933652294661556,45.69635715128133,-30.56539930034181,3.8939970177682994,52.12372740772741,76.97773099092043,115.00233660485296,15.0,30.383677171146473,12.750294788386904,17.124115809320795,20.87437590629817,29.172366344266322,32.59794000324878,64.66941570730502,15.0,527.8666666666667,246.36612321231723,270.0,364.5,420.0,615.0,1051.0,15.0,89.66666666666667,6.564696344480686,81.0,83.0,91.0,95.0,100.0,15.0,29.888888888888893,2.188232114826896,27.0,27.666666666666668,30.333333333333332,31.666666666666668,33.333333333333336,15.0,43.24249278904142,4.290906541014554,36.17021276595745,41.026315789473685,42.68292682926829,46.02330293819656,52.4390243902439,15.0,0.6260603924759418,0.4933556036730654,-0.1856994291101974,0.19981089151685888,0.7078668330728636,0.9822782387719409,1.2798774861341653,1.016974023202436,0.41964291275761323,0.07321222689011918,0.7880319688040703,12
2,1,4,3,15.0,91.70702572982128,82.99054367791219,-20.358124445451963,28.187384456739423,73.22631645550425,145.9465131427507,240.2780525046594,15.0,29.86361713430689,13.797781893115578,14.03962870553846,19.556584536003026,29.260594698980807,32.646792630938876,66.73919225275786,15.0,393.6,281.1097396290027,135.0,179.5,246.0,525.0,911.0,15.0,80.53333333333333,4.688384837121669,75.0,76.0,79.0,85.0,88.0,15.0,26.84444444444444,1.5627949457072234,25.0,25.333333333333332,26.333333333333332,28.333333333333332,29.333333333333332,15.0,46.016885868909206,3.2635486254187747,38.961038961038966,45.08045977011494,46.15384615384615,47.89813486370158,52.5,15.0,0.8895923137328572,0.5773966631228127,-0.19187941397636288,0.4413788379387738,1.0936121145025883,1.2915035461765316,1.706749390377938,0.9049529522679235,0.4620264796143829,0.05821669913644457,0.6490576123572531,6
2,1,4,4,15.0,184.53407022737738,132.41148465801513,21.138139356257952,73.83922544391909,144.70945556414483,307.74097059945984,382.44254575897514,15.0,32.51158696221354,9.6999602414491,19.727853190502216,24.64884186239371,32.261693339880296,37.92132727558276,53.15369972207987,15.0,390.06666666666666,218.8637758537314,150.0,232.0,246.0,526.0,910.0,15.0,68.33333333333333,5.752846086524312,62.0,63.0,67.0,71.0,79.0,15.0,22.77777777777778,1.9176153621747705,20.666666666666668,21.0,22.333333333333332,23.666666666666664,26.333333333333332,15.0,49.28240704839113,6.990009298823326,39.473684210526315,42.95125164690382,50.79365079365079,55.20993343573989,59.67741935483871,15.0,1.1838363130733545,0.5113847931516703,0.37247768463528347,0.8375080445915768,1.234973169152083,1.5524981692236048,2.0415748033439747,0.7175449199969504,0.29835394540176824,0.08418799151011189,0.4319725518674668,14
2,1,5,1,15.0,29.204024303465236,42.57406657471733,-45.32322593260034,-7.054122567324086,37.008144133680446,61.23963748708495,89.85329044605955,15.0,29.516191947965144,13.062101647308113,13.961302926111813,21.854385611785297,27.758664233451697,30.868080840888986,67.5679887448112,15.0,579.6666666666666,276.24514647751,286.0,379.0,426.0,833.0,1071.0,15.0,90.46666666666667,7.268981719477305,78.0,84.0,91.0,96.0,102.0,15.0,30.15555555555555,2.4229939064924353,26.0,28.0,30.333333333333332,32.0,34.0,15.0,42.96666027869402,3.9528246965612426,34.93975903614458,41.21212121212121,43.61702127659575,45.42015133412983,49.411764705882355,15.0,0.46594354430740687,0.5381015379786523,-0.46345676899719346,0.03238760605089102,0.585023303741302,0.8328409099515165,1.1890510098454208,1.4578150645377204,0.44254020540100936,0.08034983477683094,1.1548642417151704,21
